ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,SMA,SMA_lower,SMA_upper,Volume_Avg,Volume_Avg_lower,Volume_Avg_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,yhat_smooth
2025-02-05,148.04105022784728,144.64318659833458,156.8440552684384,148.04105022784728,148.04105022784728,5.473181434204515,5.473181434204515,5.473181434204515,-0.11482429284971145,-0.11482429284971145,-0.11482429284971145,2.52622639415163,2.52622639415163,2.52622639415163,5.358357141354804,5.358357141354804,5.358357141354804,0.49457170142526624,0.49457170142526624,0.49457170142526624,-3.32670244862844,-3.32670244862844,-3.32670244862844,0.0,0.0,0.0,150.5672766219989,148.26732522064745
2025-02-06,148.24919650087807,144.57639669498823,157.0308454793151,148.24919650087807,148.24919650087807,5.473181434204515,5.473181434204515,5.473181434204515,-0.11482429284971145,-0.11482429284971145,-0.11482429284971145,2.8889146104724515,2.8889146104724515,2.8889146104724515,5.358357141354804,5.358357141354804,5.358357141354804,0.6144621070829396,0.6144621070829396,0.6144621070829396,-3.0839046379652912,-3.0839046379652912,-3.0839046379652912,0.0,0.0,0.0,151.13811111135053,148.73235538914986
2025-02-07,148.45734277390878,145.27977104383638,157.6781142984456,148.45734277390878,148.45734277390878,5.473181434204515,5.473181434204515,5.473181434204515,-0.11482429284971145,-0.11482429284971145,-0.11482429284971145,3.020768210767889,3.020768210767889,3.020768210767889,5.358357141354804,5.358357141354804,5.358357141354804,0.4954319156257057,0.4954319156257057,0.4954319156257057,-2.8330208462126207,-2.8330208462126207,-2.8330208462126207,0.0,0.0,0.0,151.47811098467668,149.22410392998435
2025-02-08,148.66548904693948,144.07383924161965,156.3699463005092,148.66548904693948,148.66548904693948,5.473181434204515,5.473181434204515,5.473181434204515,-0.11482429284971145,-0.11482429284971145,-0.11482429284971145,1.5127395827471646,1.5127395827471646,1.5127395827471646,5.358357141354804,5.358357141354804,5.358357141354804,-1.2680396974704458,-1.2680396974704458,-1.2680396974704458,-2.577577861137194,-2.577577861137194,-2.577577861137194,0.0,0.0,0.0,150.17822862968666,149.51864515709767
2025-02-09,148.87363531997028,144.199864256992,156.57822705320552,148.87363531997028,148.87363531997028,5.473181434204515,5.473181434204515,5.473181434204515,-0.11482429284971145,-0.11482429284971145,-0.11482429284971145,1.7691469327826386,1.7691469327826386,1.7691469327826386,5.358357141354804,5.358357141354804,5.358357141354804,-1.268038718138454,-1.268038718138454,-1.268038718138454,-2.321171490433711,-2.321171490433711,-2.321171490433711,0.0,0.0,0.0,150.6427822527529,149.83750307011758
2025-02-10,149.08178159300098,146.2203002442379,158.80473984664835,149.08178159300098,149.08178159300098,5.473181434204515,5.473181434204515,5.473181434204515,-0.11482429284971145,-0.11482429284971145,-0.11482429284971145,3.7879189342908206,3.7879189342908206,3.7879189342908206,5.358357141354804,5.358357141354804,5.358357141354804,0.4969440139456138,0.4969440139456138,0.4969440139456138,-2.0673822210095967,-2.0673822210095967,-2.0673822210095967,0.0,0.0,0.0,152.8697005272918,150.34223206111966
2025-02-11,149.2899278660317,146.3557981231644,159.75461688156125,149.2899278660317,149.2899278660317,5.473181434204515,5.473181434204515,5.473181434204515,-0.11482429284971145,-0.11482429284971145,-0.11482429284971145,3.9733349257576873,3.9733349257576873,3.9733349257576873,5.358357141354804,5.358357141354804,5.358357141354804,0.43466867753393257,0.43466867753393257,0.43466867753393257,-1.8196908931310487,-1.8196908931310487,-1.8196908931310487,0.0,0.0,0.0,153.26326279178937,150.84097661272844
2025-02-12,149.4980741390624,147.46823804912177,159.93899454521062,149.4980741390624,149.4980741390624,5.473181434204515,5.473181434204515,5.473181434204515,-0.11482429284971145,-0.11482429284971145,-0.11482429284971145,4.271532241153644,4.271532241153644,4.271532241153644,5.358357141354804,5.358357141354804,5.358357141354804,0.4945717014253215,0.4945717014253215,0.4945717014253215,-1.5813966016264809,-1.5813966016264809,-1.5813966016264809,0.0,0.0,0.0,153.76960638021603,151.3665658735313
2025-02-13,149.7062204120932,148.29834059472222,160.38069681125856,149.7062204120932,149.7062204120932,5.473181434204515,5.473181434204515,5.473181434204515,-0.11482429284971145,-0.11482429284971145,-0.11482429284971145,4.6172802542137985,4.6172802542137985,4.6172802542137985,5.358357141354804,5.358357141354804,5.358357141354804,0.6144621070826572,0.6144621070826572,0.6144621070826572,-1.355538994223662,-1.355538994223662,-1.355538994223662,0.0,0.0,0.0,154.32350066630698,151.82984710675666
2025-02-14,149.9143666851239,148.13447882279803,161.1104885415578,149.9143666851239,149.9143666851239,5.473181434204515,5.473181434204515,5.473181434204515,-0.11482429284971145,-0.11482429284971145,-0.11482429284971145,4.708962021965301,4.708962021965301,4.708962021965301,5.358357141354804,5.358357141354804,5.358357141354804,0.49543191562439204,0.49543191562439204,0.49543191562439204,-1.1448270350138952,-1.1448270350138952,-1.1448270350138952,0.0,0.0,0.0,154.6233287070892,152.28539086731593
