ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Volume_Avg,Volume_Avg_lower,Volume_Avg_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-02-05,153.25064650068717,143.68058037047786,156.25381496713408,153.25064650068717,153.25064650068717,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-3.1670173217723896,-3.1670173217723896,-3.1670173217723896,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,0.378972772833001,0.378972772833001,0.378972772833001,-3.4706831118875945,-3.4706831118875945,-3.4706831118875945,0.0,0.0,0.0,150.08362917891478
2025-02-06,153.46889919184758,144.5655408712642,156.81913291588413,153.46889919184758,153.46889919184758,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-2.811377325840898,-2.811377325840898,-2.811377325840898,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,0.5010810541301575,0.5010810541301575,0.5010810541301575,-3.23715139725326,-3.23715139725326,-3.23715139725326,0.0,0.0,0.0,150.65752186600668
2025-02-07,153.68715188300786,144.93850725109854,157.43025684049098,153.68715188300786,153.68715188300786,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-2.688512975490052,-2.688512975490052,-2.688512975490052,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,0.3821657865108257,0.3821657865108257,0.3821657865108257,-2.995371779283082,-2.995371779283082,-2.995371779283082,0.0,0.0,0.0,150.9986389075178
2025-02-08,153.90540457416816,143.94642918162253,156.01780770171558,153.90540457416816,153.90540457416816,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-3.8071067512664243,-3.8071067512664243,-3.8071067512664243,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-0.9830126673199294,-0.9830126673199294,-0.9830126673199294,-2.7487871012286993,-2.7487871012286993,-2.7487871012286993,0.0,0.0,0.0,150.09829782290174
2025-02-09,154.12365726532857,144.23141792198012,156.69321348024036,154.12365726532857,154.12365726532857,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-3.5592325968476226,-3.5592325968476226,-3.5592325968476226,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-0.9830139350939748,-0.9830139350939748,-0.9830139350939748,-2.500911679035852,-2.500911679035852,-2.500911679035852,0.0,0.0,0.0,150.56442466848094
2025-02-10,154.3419099564889,145.58556218279375,158.60320101770935,154.3419099564889,154.3419099564889,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-1.9470285671838832,-1.9470285671838832,-1.9470285671838832,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,0.3835268146410867,0.3835268146410867,0.3835268146410867,-2.255248399107174,-2.255248399107174,-2.255248399107174,0.0,0.0,0.0,152.39488138930503
2025-02-11,154.56016264764918,146.33653898925994,159.31706737900623,154.56016264764918,154.56016264764918,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-1.7702325420223584,-1.7702325420223584,-1.7702325420223584,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,0.32028017430237127,0.32028017430237127,0.32028017430237127,-2.015205733606934,-2.015205733606934,-2.015205733606934,0.0,0.0,0.0,152.7899301056268
2025-02-12,154.77841533880948,147.11058696650332,159.49252547103433,154.77841533880948,154.77841533880948,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-1.4803510697595215,-1.4803510697595215,-1.4803510697595215,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,0.3789727728330565,0.3789727728330565,0.3789727728330565,-1.7840168598747823,-1.7840168598747823,-1.7840168598747823,0.0,0.0,0.0,153.29806426904997
2025-02-13,154.9966680299699,147.3832715789277,160.02089314633398,154.9966680299699,154.9966680299699,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-1.1388889604136287,-1.1388889604136287,-1.1388889604136287,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,0.5010810541299234,0.5010810541299234,0.5010810541299234,-1.5646630318257564,-1.5646630318257564,-1.5646630318257564,0.0,0.0,0.0,153.85777906955627
2025-02-14,155.21492072113017,147.70028391547473,160.35824856123648,155.21492072113017,155.21492072113017,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-1.0529444491631963,-1.0529444491631963,-1.0529444491631963,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,0.3821657865097912,0.3821657865097912,0.3821657865097912,-1.359803252955192,-1.359803252955192,-1.359803252955192,0.0,0.0,0.0,154.16197627196698
